,date,code,name,weight
146,2019-02-27,600823,世茂股份,0.18
147,2019-02-27,600827,百联股份,0.21
148,2019-02-27,600835,上海机电,0.16
149,2019-02-27,600839,四川长虹,0.29
150,2019-02-27,600848,上海临港,0.2
151,2019-02-27,600859,王府井,0.14
152,2019-02-27,600862,中航高科,0.09
153,2019-02-27,600863,内蒙华电,0.23
154,2019-02-27,600869,智慧能源,0.13
155,2019-02-27,600872,中炬高新,0.49
156,2019-02-27,600874,创业环保,0.11
157,2019-02-27,600875,东方电气,0.3
158,2019-02-27,600879,航天电子,0.4
159,2019-02-27,600881,亚泰集团,0.35
160,2019-02-27,600884,杉杉股份,0.24
161,2019-02-27,600885,宏发股份,0.31
162,2019-02-27,600895,张江高科,0.45
163,2019-02-27,600901,江苏租赁,0.18
164,2019-02-27,600908,无锡银行,0.17
165,2019-02-27,600917,重庆燃气,0.04
166,2019-02-27,600939,重庆建工,0.08
167,2019-02-27,600959,江苏有线,0.27
168,2019-02-27,600967,内蒙一机,0.27
169,2019-02-27,600970,中材国际,0.19
170,2019-02-27,600971,恒源煤电,0.09
171,2019-02-27,600978,宜华生活,0.15
172,2019-02-27,600993,马应龙,0.13
173,2019-02-27,600996,贵广网络,0.07
174,2019-02-27,601000,唐山港,0.24
175,2019-02-27,601001,大同煤业,0.11
176,2019-02-27,601003,柳钢股份,0.11
177,2019-02-27,601005,重庆钢铁,0.41
178,2019-02-27,601016,节能风电,0.13
179,2019-02-27,601019,山东出版,0.07
180,2019-02-27,601020,华钰矿业,0.05
181,2019-02-27,601098,中南传媒,0.27
182,2019-02-27,601100,恒立液压,0.2
183,2019-02-27,601106,中国一重,0.29
184,2019-02-27,601127,小康股份,0.13
185,2019-02-27,601128,常熟银行,0.24
186,2019-02-27,601168,西部矿业,0.33
187,2019-02-27,601179,中国西电,0.24
188,2019-02-27,601200,上海环境,0.14
189,2019-02-27,601231,环旭电子,0.21
190,2019-02-27,601311,骆驼股份,0.12
191,2019-02-27,601326,秦港股份,0.14
192,2019-02-27,601598,中国外运,0.23
193,2019-02-27,601608,中信重工,0.19
194,2019-02-27,601678,滨化股份,0.15
195,2019-02-27,601689,拓普集团,0.13
196,2019-02-27,601717,郑煤机,0.15
197,2019-02-27,601718,际华集团,0.25
198,2019-02-27,601777,力帆股份,0.08
199,2019-02-27,601801,皖新传媒,0.13
200,2019-02-27,601811,新华文轩,0.06
201,2019-02-27,601866,中远海发,0.33
202,2019-02-27,601869,长飞光纤,0.11
203,2019-02-27,601872,招商轮船,0.31
